AREA;MARCA;AGRUPACION
10;IQUIQUE;RCL COMERCIAL
11;SAMSUNG;RCL COMERCIAL
12;IRT;RCL COMERCIAL
13;BENQ;RCL COMERCIAL
14;PIONEER;RCL COMERCIAL
15;SOPORTE IQUIQUE;RCL SERVICIOS
16;FUJITEL;RCL COMERCIAL
17;AOC;RCL COMERCIAL
18;HONEYWELL;RCL COMERCIAL
19;PRINCESS;RCL COMERCIAL
20;GENERAL ELECTRIC;RCL COMERCIAL
21;KINGSTON;RCL COMERCIAL
22;LOGITECH;RCL COMERCIAL
23;TP-LINK;RCL COMERCIAL
24;AUDIOLAB;RCL COMERCIAL
25;GOLLA;RCL COMERCIAL
26;HP;RCL COMERCIAL
27;LEXAR;RCL COMERCIAL
28;MINWA;RCL COMERCIAL
29;TOSHIBA;RCL COMERCIAL
30;UNI-T;RCL COMERCIAL
31;CREATIVE;RCL COMERCIAL
32;MOTOROLA;RCL COMERCIAL
33;MEMOREX;RCL COMERCIAL
34;XTREMEMAC;RCL COMERCIAL
49;OTRAS MARCAS;RCL COMERCIAL
51;SOPORTE  ;RCL COMERCIAL
70;SERVICIO TÉCNICO;RCL SERVICIOS
79;RETAIL;#N/A
80;LOGISTICA;RCL SERVICIOS
90;OTROS NEGOCIOS;RCL COMERCIAL
92;ADMINISTRACIÓN;RCL COMERCIAL
93;FINANZAS;RCL SERVICIOS
95;OTROS GASTOS;RCL SERVICIOS
99;SIN DEFINICIÓN;RCL COMERCIAL